time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;ground_temp
2021;8;21;11;22.4;769;138;5
2021;8;21;12;23.4;802;124;5
2021;8;21;13;24.6;790;120;5
2021;8;21;14;25.5;727;117;5
2021;8;21;15;26.6;612;99;5
2021;8;21;16;27;436;103;5
2021;8;21;17;26.4;201;126;5
2021;8;21;18;24.3;57;49;5
2021;8;21;19;23.2;9;8;5
2021;8;21;20;22.5;2;1;5
2021;8;21;21;21.9;2;1;5
2021;8;21;22;21.4;2;1;5
2021;8;21;23;21.4;3;2;5
2021;8;22;0;20.3;2;1;5
2021;8;22;1;20.3;2;1;5
2021;8;22;2;20.3;2;1;5
2021;8;22;3;21.4;2;1;5
2021;8;22;4;21.1;2;1;5
2021;8;22;5;20.1;4;2;5
2021;8;22;6;19.8;17;15;5
2021;8;22;7;20.1;72;69;5
2021;8;22;8;20.7;153;144;5
2021;8;22;9;21;292;241;5
2021;8;22;10;21.4;367;320;5
2021;8;22;11;23.1;818;368;5
2021;8;22;12;24.3;818;293;5
2021;8;22;13;24.5;747;279;5
2021;8;22;14;25.7;718;211;5
2021;8;22;15;25.6;555;212;5
2021;8;22;16;24.8;447;241;5
2021;8;22;17;23.6;208;127;5
2021;8;22;18;22.4;36;33;5
2021;8;22;19;20.5;7;6;5
2021;8;22;20;19.3;2;1;5
2021;8;22;21;19.4;2;1;5
2021;8;22;22;19.1;2;1;5
2021;8;22;23;18.6;2;1;5
2021;8;23;0;18.4;2;1;5
2021;8;23;1;17.9;2;1;5
2021;8;23;2;17.6;2;1;5
2021;8;23;3;17.4;2;1;5
2021;8;23;4;17.1;2;1;5
2021;8;23;5;16.9;5;4;5
2021;8;23;6;16.7;64;29;5
2021;8;23;7;17.7;228;50;5
2021;8;23;8;19.2;417;61;5
2021;8;23;9;20.3;580;85;5
2021;8;23;10;21.3;719;94;5
2021;8;23;11;22.2;808;110;5
2021;8;23;12;22.8;836;103;5
2021;8;23;13;23.5;808;97;5
2021;8;23;14;23.5;686;113;5
2021;8;23;15;23.6;616;101;5
2021;8;23;16;23.1;447;76;5
2021;8;23;17;22.1;274;63;5
2021;8;23;18;20.9;99;38;5
2021;8;23;19;19.5;9;8;5
2021;8;23;20;18.6;2;1;5
2021;8;23;21;18.2;2;1;5
2021;8;23;22;17.7;2;1;5
