tre200h0;gls;str.diffus;ground_temp
3.3;3;1;5
1.4;4;3;5
0.4;3;1;5
0.3;2;1;5
0.2;2;1;5
0.2;2;1;5
0.7;3;1;5
1.0;2;1;5
1.5;3;1;5
1.7;2;1;5
1.9;2;1;5
1.2;3;2;5
1.3;9;8;5
1.7;64;59;5
1.0;116;111;5
1.0;58;55;5
1.2;263;187;5
2.6;305;196;5
2.6;191;147;5
2.2;114;96;5
2.3;44;36;5
1.6;6;4;5
1.4;3;2;5
0.9;3;1;5
1.3;3;1;5
0.6;3;2;5
-0.2;3;1;5
0.1;3;1;5
0.1;3;1;5
0.8;2;1;5
0.3;3;2;5
-0.8;2;1;5
-1.5;2;1;5
-1.4;2;1;5
-0.8;2;1;5
-0.8;3;1;5
-1.0;21;19;5
-0.6;62;60;5
0.0;163;88;5
1.7;384;97;5
2.5;450;121;5
2.6;426;79;5
2.8;311;95;5
2.4;117;110;5
2.1;56;53;5
0.9;7;6;5
0.2;3;1;5
-0.3;3;1;5
-1.1;2;1;5
-0.8;3;1;5
-0.6;2;1;5
-0.7;3;1;5
-1.0;2;1;5
-1.7;2;1;5
-1.8;2;1;5
-1.7;2;1;5
-1.2;2;1;5
-0.7;3;1;5
-0.2;3;1;5
-0.4;3;1;5
-0.4;18;17;5
0.4;48;46;5
1.2;96;96;5
1.5;119;118;5
1.3;121;121;5
1.4;81;80;5
1.5;75;74;5
1.9;64;63;5
2.0;34;33;5
2.0;6;5;5
1.9;2;1;5
2.3;2;1;5
2.8;2;1;5
3.2;2;1;5
3.2;3;1;5
3.4;3;2;5
3.1;2;1;5
2.9;2;1;5
2.8;3;1;5
3.2;2;1;5
4.0;2;1;5
4.1;2;1;5
4.0;2;1;5
4.4;2;1;5
4.3;5;4;5
4.4;19;18;5
5.1;16;14;5
5.6;20;19;5
6.3;20;18;5
6.9;34;33;5
7.3;28;26;5
7.9;37;36;5
8.3;24;23;5
8.7;5;4;5
9.4;2;1;5
9.5;2;1;5
9.5;2;1;5
9.5;2;1;5
9.4;2;1;5
9.4;2;1;5
8.8;3;1;5
8.6;3;2;5
8.0;2;1;5
7.5;2;1;5
8.0;2;1;5
8.3;2;1;5
8.9;2;1;5
9.5;2;1;5
8.8;7;6;5
10.3;34;32;5
9.7;57;52;5
8.8;52;51;5
10.0;111;84;5
8.5;72;70;5
9.3;112;97;5
9.3;176;121;5
9.4;109;73;5
8.7;9;8;5
8.5;2;1;5
8.2;3;2;5
7.3;2;1;5
7.2;3;2;5
7.3;2;1;5
7.4;2;1;5
7.2;2;1;5
7.0;2;1;5
6.7;2;1;5
6.5;2;1;5
6.0;3;1;5
5.5;2;1;5
5.5;2;1;5
5.6;3;1;5
5.4;12;11;5
6.1;49;48;5
6.3;60;59;5
6.2;49;48;5
5.9;62;61;5
5.7;76;75;5
5.8;48;47;5
5.7;31;30;5
5.6;17;16;5
5.8;4;3;5
5.8;2;1;5
5.7;2;1;5
5.8;2;1;5
5.5;2;1;5
5.3;2;1;5
5.8;2;1;5
5.8;2;1;5
5.7;2;1;5
5.6;2;1;5
5.6;2;1;5
5.7;2;1;5
5.4;3;1;5
5.2;2;1;5
5.4;2;1;5
5.6;15;13;5
5.8;26;25;5
5.8;57;56;5
5.9;121;120;5
6.2;203;202;5
6.7;215;213;5
6.6;174;172;5
6.7;153;144;5
7.2;76;68;5
6.5;15;13;5
6.4;3;1;5
6.3;3;1;5
6.0;3;1;5
6.2;2;1;5
6.4;3;2;5
6.1;2;1;5
6.1;2;1;5
5.7;3;2;5
5.6;2;1;5
5.8;2;1;5
6.2;2;1;5
5.8;3;1;5
5.7;3;1;5
5.6;2;1;5
6.1;11;10;5
6.4;42;41;5
6.5;66;65;5
6.7;82;81;5
6.8;115;114;5
7.2;185;174;5
7.3;99;97;5
7.3;64;63;5
7.2;36;35;5
6.7;6;4;5
7.0;2;1;5
7.0;3;1;5
6.4;2;1;5
6.5;2;1;5
6.5;2;1;5
6.4;2;1;5
6.5;2;1;5
6.7;2;1;5
6.6;2;1;5
6.7;2;1;5
6.8;2;1;5
6.6;3;1;5
6.6;2;1;5
6.5;3;2;5
6.6;16;14;5
6.7;54;53;5
6.9;65;64;5
7.3;110;108;5
7.7;104;103;5
7.7;56;56;5
7.7;31;29;5
8.0;25;24;5
8.3;18;17;5
8.5;6;4;5
8.5;2;1;5
8.8;2;1;5
9.0;2;1;5
9.1;2;1;5
8.9;2;1;5
8.8;2;1;5
8.5;2;1;5
8.2;2;1;5
8.3;2;1;5
8.5;3;1;5
8.5;2;1;5
8.2;2;1;5
8.0;2;1;5
8.3;3;2;5
8.0;13;12;5
8.6;27;26;5
9.4;46;44;5
9.9;25;24;5
10.4;20;19;5
10.8;35;33;5
11.5;64;61;5
10.5;18;16;5
9.1;17;16;5
9.1;5;4;5
9.5;2;1;5
10.1;2;1;5
10.5;2;1;5
10.3;2;1;5
10.3;2;1;5
10.5;2;1;5
10.1;2;1;5
9.5;3;1;5
8.0;3;2;5
7.5;3;1;5
6.7;3;1;5
6.3;3;1;5
5.9;3;1;5
6.2;3;2;5
6.8;48;37;5
7.4;97;93;5
7.3;157;153;5
7.7;218;208;5
8.1;248;221;5
9.1;250;221;5
8.9;155;151;5
8.7;140;135;5
8.2;75;71;5
7.9;10;8;5
8.1;2;1;5
8.1;2;1;5
7.4;3;2;5
7.2;2;1;5
7.0;3;1;5
6.6;3;1;5
6.4;3;1;5
6.1;3;1;5
5.9;3;1;5
6.0;2;1;5
6.0;2;1;5
6.3;3;1;5
6.3;3;1;5
6.2;3;2;5
6.6;42;40;5
6.9;102;98;5
7.2;148;142;5
8.0;150;148;5
8.0;112;111;5
8.1;133;132;5
9.9;119;116;5
8.6;140;135;5
8.5;80;72;5
8.1;19;17;5
7.7;2;1;5
7.7;3;1;5
7.2;3;1;5
6.9;3;1;5
6.7;3;1;5
6.4;2;1;5
6.2;3;1;5
5.8;3;1;5
5.9;2;1;5
5.7;3;1;5
5.7;2;1;5
5.6;3;1;5
5.4;2;1;5
5.5;3;2;5
5.5;18;17;5
5.8;39;38;5
6.4;42;41;5
7.2;103;102;5
7.1;121;121;5
7.6;48;47;5
7.1;111;110;5
7.3;155;155;5
7.6;89;89;5
7.4;20;19;5
7.0;2;1;5
6.8;3;1;5
7.0;2;1;5
7.3;3;1;5
7.1;2;1;5
7.0;3;1;5
7.1;2;1;5
7.8;3;1;5
7.1;3;1;5
7.6;2;1;5
8.3;2;1;5
8.1;3;2;5
7.8;2;1;5
7.6;3;1;5
7.4;13;12;5
7.1;17;16;5
7.0;60;59;5
7.1;84;83;5
7.0;122;121;5
6.5;127;126;5
6.0;81;79;5
5.5;66;64;5
5.4;24;23;5
5.1;11;10;5
4.7;2;1;5
4.7;2;1;5
5.1;2;1;5
4.8;3;1;5
4.2;2;1;5
4.3;2;1;5
4.4;2;1;5
4.3;3;1;5
4.3;2;1;5
4.8;2;1;5
4.6;3;1;5
4.5;2;1;5
4.7;2;1;5
4.6;4;2;5
4.6;37;35;5
4.4;98;84;5
5.8;362;111;5
6.3;438;63;5
7.1;479;67;5
8.0;399;108;5
8.2;336;181;5
8.5;312;156;5
8.0;108;91;5
7.7;36;31;5
7.5;3;1;5
6.9;3;1;5
6.4;3;1;5
6.2;2;1;5
6.0;3;1;5
5.7;3;1;5
5.7;2;1;5
5.6;3;1;5
5.7;3;1;5
5.5;3;2;5
4.8;2;1;5
4.3;2;1;5
3.9;3;1;5
3.6;3;1;5
4.1;89;64;5
4.5;43;42;5
4.8;102;99;5
5.5;141;138;5
6.3;241;205;5
6.8;183;173;5
6.9;131;128;5
6.9;106;104;5
6.8;73;72;5
5.9;19;18;5
4.8;3;2;5
3.9;3;1;5
3.1;3;2;5
2.7;3;1;5
2.8;2;1;5
3.0;3;2;5
2.8;3;1;5
2.8;2;1;5
2.6;3;1;5
1.8;3;2;5
0.8;2;1;5
0.5;3;1;5
1.0;2;1;5
1.3;3;2;5
1.6;13;12;5
2.3;78;77;5
3.2;96;95;5
3.6;96;94;5
4.6;233;223;5
5.2;142;141;5
6.3;100;99;5
6.2;48;47;5
6.4;20;19;5
6.6;5;4;5
6.2;2;1;5
5.6;3;1;5
4.7;3;1;5
3.8;3;1;5
3.5;3;1;5
3.1;3;2;5
2.7;3;1;5
2.3;3;1;5
2.0;3;2;5
1.3;3;1;5
0.9;3;1;5
0.3;3;2;5
-0.3;3;1;5
-0.9;3;2;5
-1.1;21;19;5
-1.3;61;60;5
-1.1;124;122;5
-0.9;206;204;5
-0.4;333;298;5
-0.2;258;256;5
-0.1;220;218;5
-0.3;159;159;5
-0.8;88;87;5
-1.3;17;16;5
-2.0;2;1;5
-2.8;2;1;5
-2.9;2;1;5
-3.2;2;1;5
-3.4;2;1;5
-3.5;2;1;5
-3.5;2;1;5
-3.5;2;1;5
-3.5;2;1;5
-3.3;2;1;5
-3.5;2;1;5
-3.7;2;1;5
-3.9;2;1;5
-4.0;2;1;5
-3.9;12;11;5
-4.1;28;27;5
-4.0;45;44;5
-3.5;79;78;5
-3.1;78;78;5
-2.9;134;133;5
-2.8;56;55;5
-3.0;66;65;5
-3.4;30;29;5
-3.8;6;5;5
-4.2;2;0;5
-4.3;2;1;5
-4.4;2;1;5
-4.2;2;1;5
-4.1;2;1;5
-4.2;2;1;5
-4.4;2;1;5
-4.6;2;1;5
-4.9;2;1;5
-5.1;2;0;5
-5.4;2;0;5
-5.5;2;0;5
-5.7;1;0;5
-5.9;3;2;5
-6.0;22;21;5
-5.9;68;67;5
-5.5;116;116;5
-5.0;162;162;5
-4.7;190;189;5
-4.3;182;181;5
-4.1;171;170;5
-3.9;134;133;5
-4.3;58;57;5
-4.4;12;11;5
-4.6;2;1;5
-4.4;2;1;5
-4.4;2;1;5
-4.3;2;1;5
-4.3;2;1;5
-4.4;2;1;5
-4.6;2;1;5
-4.6;2;1;5
-4.8;2;1;5
-4.6;2;1;5
-4.6;2;1;5
-4.6;2;1;5
-4.6;2;1;5
-4.8;4;2;5
-4.5;32;31;5
-3.6;159;136;5
-2.8;376;166;5
-2.2;478;109;5
-1.7;522;100;5
-1.2;507;87;5
-0.6;449;87;5
-0.3;325;77;5
-0.1;178;62;5
-0.5;35;23;5
-0.8;3;1;5
-1.0;2;1;5
-1.2;2;1;5
-1.2;2;1;5
-1.5;2;1;5
-1.6;2;1;5
-1.4;2;1;5
-1.1;2;1;5
-1.0;2;1;5
-1.0;3;1;5
-1.1;2;1;5
-1.0;2;1;5
-1.0;3;1;5
-1.0;9;8;5
-0.5;83;52;5
1.2;230;91;5
2.3;375;151;5
2.9;412;183;5
4.1;531;262;5
4.8;370;308;5
5.1;168;166;5
5.6;86;84;5
5.3;39;38;5
5.0;16;15;5
4.7;3;1;5
4.9;2;1;5
4.8;3;1;5
4.9;3;1;5
5.3;3;1;5
5.3;2;1;5
5.2;3;1;5
4.8;3;1;5
5.0;2;1;5
4.5;3;2;5
4.3;2;1;5
4.5;3;1;5
3.9;3;2;5
3.8;13;11;5
4.4;79;61;5
5.4;216;88;5
5.8;341;88;5
6.5;452;98;5
8.0;511;143;5
8.1;318;254;5
8.6;242;231;5
8.9;218;202;5
9.5;149;98;5
8.2;47;40;5
7.2;4;2;5
7.4;2;1;5
8.3;2;1;5
8.6;2;1;5
8.7;2;1;5
8.8;3;1;5
8.7;3;1;5
8.6;2;1;5
8.3;3;2;5
7.6;2;1;5
7.3;3;1;5
6.8;3;1;5
6.4;2;1;5
6.8;7;6;5
7.0;92;63;5
8.5;264;70;5
8.9;381;69;5
9.3;466;93;5
10.0;518;114;5
10.6;504;72;5
11.4;450;80;5
11.5;337;64;5
11.6;188;53;5
10.4;52;30;5
9.1;4;2;5
7.9;3;1;5
7.1;3;1;5
6.5;3;1;5
6.3;2;1;5
6.3;3;1;5
5.3;3;2;5
4.6;3;1;5
4.3;2;1;5
4.1;3;1;5
3.8;3;1;5
3.6;3;1;5
3.3;3;1;5
3.3;14;12;5
4.6;94;69;5
5.6;215;155;5
6.2;311;241;5
6.4;329;286;5
7.5;345;275;5
8.7;236;228;5
10.1;239;228;5
10.1;188;185;5
9.0;133;128;5
9.7;31;30;5
9.8;3;2;5
9.3;3;1;5
8.2;3;2;5
9.8;2;1;5
9.3;3;2;5
10.2;2;1;5
9.8;2;1;5
9.2;3;1;5
8.7;2;1;5
9.3;2;1;5
9.4;2;1;5
9.1;3;2;5
7.7;3;2;5
7.4;6;5;5
7.9;51;40;5
9.1;212;74;5
9.9;377;118;5
10.5;435;135;5
11.9;502;136;5
12.3;489;127;5
12.9;434;131;5
12.8;300;110;5
12.7;187;95;5
12.0;53;36;5
10.8;4;2;5
10.0;3;1;5
9.8;3;1;5
9.4;2;1;5
8.9;3;1;5
8.4;2;1;5
7.5;3;1;5
7.4;2;1;5
7.4;2;1;5
6.9;3;1;5
6.1;3;2;5
6.8;2;1;5
5.8;3;2;5
5.5;10;8;5
6.3;102;34;5
7.8;262;48;5
8.2;404;63;5
9.3;498;73;5
10.7;550;76;5
12.2;536;65;5
11.5;482;70;5
12.7;362;61;5
11.8;209;52;5
11.7;52;26;5
10.9;4;3;5
10.0;3;1;5
9.2;3;1;5
8.8;3;1;5
8.6;2;1;5
7.8;3;1;5
7.7;2;1;5
7.0;3;1;5
7.0;2;1;5
6.5;3;1;5
5.9;2;1;5
5.7;3;1;5
5.7;2;1;5
5.3;12;8;5
6.5;112;30;5
7.4;282;42;5
8.0;422;56;5
9.1;514;65;5
9.5;566;70;5
10.9;550;59;5
11.4;495;62;5
12.5;379;54;5
11.7;220;46;5
11.6;61;26;5
10.1;4;3;5
9.8;3;2;5
9.1;2;1;5
8.2;3;2;5
7.4;2;1;5
7.2;2;1;5
6.6;3;2;5
6.3;3;1;5
7.2;2;1;5
7.3;3;2;5
7.0;3;1;5
7.2;3;1;5
6.1;3;2;5
6.5;11;10;5
5.9;34;33;5
6.4;113;112;5
7.9;172;167;5
7.8;165;164;5
8.1;272;249;5
9.3;350;295;5
9.8;233;222;5
10.7;161;158;5
10.1;80;80;5
10.0;36;35;5
9.6;3;2;5
9.2;3;1;5
9.7;2;1;5
9.4;3;1;5
9.6;3;1;5
8.8;3;1;5
8.6;3;1;5
8.2;3;1;5
7.5;3;2;5
7.5;2;1;5
7.6;2;1;5
6.6;3;1;5
6.3;3;1;5
6.1;16;14;5
6.5;102;73;5
8.0;234;114;5
9.0;371;159;5
9.4;469;208;5
10.5;525;209;5
11.3;500;166;5
12.0;453;176;5
12.7;334;156;5
12.7;192;113;5
11.8;59;47;5
11.4;4;3;5
11.4;2;1;5
10.9;3;1;5
10.5;3;1;5
10.4;2;1;5
9.4;3;1;5
9.2;2;1;5
8.8;3;2;5
8.5;2;1;5
8.2;3;1;5
8.0;3;1;5
7.5;3;1;5
7.5;3;1;5
7.2;17;15;5
7.7;107;78;5
7.7;237;118;5
9.0;381;163;5
10.0;478;218;5
10.7;546;205;5
11.8;522;152;5
12.3;477;157;5
13.2;359;128;5
12.8;214;98;5
12.4;65;45;5
12.0;5;3;5
11.4;3;1;5
11.0;2;1;5
10.3;3;1;5
9.7;3;1;5
9.6;2;1;5
9.0;3;1;5
8.5;3;1;5
8.2;2;1;5
8.0;3;1;5
7.2;3;2;5
6.9;2;1;5
6.8;3;1;5
6.4;18;14;5
7.4;132;54;5
8.3;291;68;5
9.2;430;87;5
10.0;522;107;5
11.2;580;112;5
12.0;562;91;5
13.0;509;98;5
13.6;388;88;5
13.4;231;71;5
12.9;67;38;5
10.8;4;3;5
11.5;2;1;5
10.9;3;1;5
10.6;2;1;5
10.0;3;2;5
9.6;3;1;5
9.4;2;1;5
8.8;3;1;5
8.9;3;1;5
8.1;3;1;5
8.2;2;1;5
7.5;3;2;5
6.9;3;1;5
7.1;15;13;5
7.8;114;68;5
8.5;253;101;5
9.1;409;146;5
10.0;499;187;5
10.8;573;216;5
11.9;512;178;5
12.0;510;251;5
12.6;200;191;5
13.5;99;96;5
